Car Title,Location,VIN,URL
2025 Ford Escape Active,"/ Location: Weatherford, TX",1FMCU0GN8SUA23018,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Escape-Active-1FMCU0GN8SUA23018
2025 Ford Escape Active,"/ Location: Weatherford, TX",1FMCU0GN4SUA17765,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Escape-Active-1FMCU0GN4SUA17765
2025 Ford Explorer ST,"/ Location: Weatherford, TX",1FMWK8GC3SGB25387,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Explorer-ST-1FMWK8GC3SGB25387
2025 Ford F-150 STX,"/ Location: Weatherford, TX",1FTEW2KP9SKD06616,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-F+150-STX-1FTEW2KP9SKD06616
2025 Ford F-350SD Platinum,"/ Location: Weatherford, TX",1FT8W3BM7SEC05016,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-F+350SD-Platinum-1FT8W3BM7SEC05016
2025 Ford Explorer Active,"/ Location: Weatherford, TX",1FMUK7DH9SGA18376,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Explorer-Active-1FMUK7DH9SGA18376
2025 Ford F-250SD F-250® XL,"/ Location: Weatherford, TX",1FT8W2BT6SEC14730,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-F+250SD-F+250+XL-1FT8W2BT6SEC14730
2025 Ford Explorer Active,"/ Location: Weatherford, TX",1FMUK7DH2SGA60369,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Explorer-Active-1FMUK7DH2SGA60369
2025 Ford Escape Plug-In Hybrid Base,"/ Location: Weatherford, TX",1FMCU0E14SUA30130,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Escape+Plug+In+Hybrid-Base-1FMCU0E14SUA30130
2025 Ford Explorer ST,"/ Location: Weatherford, TX",1FMWK8GC4SGB01633,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Ford-Explorer-ST-1FMWK8GC4SGB01633
2025 RAM Ram 1500 RAM 1500 LARAMIE CREW CAB 4X4 5'7' BOX,"/ Location: Weatherford, TX",1C6SRFJP0SN536196,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-RAM-Ram+1500-RAM+1500+LARAMIE+CREW+CAB+4X4+57+BOX-1C6SRFJP0SN536196
2025 RAM Ram 1500 RAM 1500 BIG HORN CREW CAB 4X4 5'7' BOX,"/ Location: Weatherford, TX",1C6SRFFPXSN511704,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-RAM-Ram+1500-RAM+1500+BIG+HORN+CREW+CAB+4X4+57+BOX-1C6SRFFPXSN511704
2025 Jeep Gladiator GLADIATOR NIGHTHAWK 4X4,"/ Location: Weatherford, TX",1C6PJTAG1SL503862,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Jeep-Gladiator-GLADIATOR+NIGHTHAWK+4X4-1C6PJTAG1SL503862
2025 Jeep Grand Cherokee GRAND CHEROKEE LAREDO X 4X2,"/ Location: Weatherford, TX",1C4RJGAG8SC277618,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Jeep-Grand+Cherokee-GRAND+CHEROKEE+LAREDO+X+4X2-1C4RJGAG8SC277618
2025 RAM Ram 1500 RAM 1500 BIG HORN CREW CAB 4X4 5'7' BOX,"/ Location: Weatherford, TX",1C6SRFFP5SN511707,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-RAM-Ram+1500-RAM+1500+BIG+HORN+CREW+CAB+4X4+57+BOX-1C6SRFFP5SN511707
2025 Chrysler Pacifica Base,"/ Location: Weatherford, TX",2C4RC1BG8SR527291,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Chrysler-Pacifica-Base-2C4RC1BG8SR527291
2025 Nissan Sentra SV,"/ Location: Weatherford, TX",3N1AB8CV2SY212446,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Sentra-SV-3N1AB8CV2SY212446
2025 Nissan Altima 2.5 SV,"/ Location: Weatherford, TX",1N4BL4DV9SN303254,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Altima-25+SV-1N4BL4DV9SN303254
2025 Nissan Sentra SR,"/ Location: Weatherford, TX",3N1AB8DVXSY239747,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Sentra-SR-3N1AB8DVXSY239747
2025 Nissan Altima SR,"/ Location: Weatherford, TX",1N4BL4CV0SN333535,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Altima-SR-1N4BL4CV0SN333535
2025 Nissan Pathfinder SL,"/ Location: Weatherford, TX",5N1DR3CDXSC203966,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Pathfinder-SL-5N1DR3CDXSC203966
2025 Nissan Sentra SV,"/ Location: Weatherford, TX",3N1AB8CV6SY269362,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Sentra-SV-3N1AB8CV6SY269362
2025 Nissan Rogue SV,"/ Location: Weatherford, TX",JN8BT3BA5SW000118,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Rogue-SV-JN8BT3BA5SW000118
2025 Nissan Frontier SL,"/ Location: Weatherford, TX",1N6ED1EJ9SN613707,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Frontier-SL-1N6ED1EJ9SN613707
2025 Nissan Altima 2.5 SV,"/ Location: Weatherford, TX",1N4BL4DV6SN302420,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Altima-25+SV-1N4BL4DV6SN302420
2025 Nissan Sentra SV,"/ Location: Weatherford, TX",3N1AB8CV4SY241009,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Sentra-SV-3N1AB8CV4SY241009
2025 Nissan Rogue Rock Creek,"/ Location: Weatherford, TX",5N1BT3BB4SC807733,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Rogue-Rock+Creek-5N1BT3BB4SC807733
2025 Nissan Kicks SV,"/ Location: Weatherford, TX",3N8AP6CA8SL323973,https://www.gilchristautomotive.com/new-+Fort+Worth-2025-Nissan-Kicks-SV-3N8AP6CA8SL323973
